"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Mar-2024","EQ","1,143.10","1,153.40","1,111.70","1,146.25","1,122.45","1,124.05","1,125.25","1,269.00","690.00","20,70,193","2,32,94,92,196.45","1,04,758"
"19-Mar-2024","EQ","1,184.90","1,184.90","1,139.85","1,186.95","1,149.75","1,146.25","1,152.80","1,269.00","690.00","21,52,306","2,48,11,88,386.65","1,09,316"
"18-Mar-2024","EQ","1,213.05","1,217.65","1,184.30","1,212.15","1,188.50","1,186.95","1,192.65","1,269.00","690.00","8,03,158","95,78,82,939.25","37,164"
"15-Mar-2024","EQ","1,200.00","1,219.85","1,175.90","1,198.35","1,210.00","1,212.15","1,204.69","1,269.00","686.60","28,43,465","3,42,55,08,030.95","62,518"
"14-Mar-2024","EQ","1,160.05","1,205.05","1,160.05","1,178.95","1,202.80","1,198.35","1,192.08","1,269.00","686.60","22,11,062","2,63,57,59,801.70","98,884"
"13-Mar-2024","EQ","1,215.50","1,217.40","1,170.70","1,215.20","1,179.00","1,178.95","1,190.41","1,269.00","686.60","20,50,756","2,44,12,35,776.60","97,215"
"12-Mar-2024","EQ","1,227.45","1,227.85","1,209.15","1,220.65","1,217.75","1,215.20","1,216.12","1,269.00","686.60","10,89,396","1,32,48,37,740.20","75,265"
"11-Mar-2024","EQ","1,263.00","1,269.00","1,209.00","1,261.55","1,223.00","1,220.65","1,224.52","1,269.00","686.60","26,09,165","3,19,49,85,468.55","1,24,557"
"07-Mar-2024","EQ","1,228.00","1,268.90","1,216.75","1,220.05","1,265.00","1,261.55","1,246.41","1,268.90","686.60","35,22,952","4,39,10,33,684.45","1,31,787"
"06-Mar-2024","EQ","1,203.80","1,223.00","1,192.00","1,200.60","1,219.50","1,220.05","1,209.51","1,223.00","686.60","13,67,260","1,65,37,15,433.15","76,186"
"05-Mar-2024","EQ","1,206.85","1,211.90","1,196.00","1,203.25","1,200.00","1,200.60","1,202.43","1,214.00","686.60","8,67,925","1,04,36,22,296.60","53,199"
"04-Mar-2024","EQ","1,206.95","1,214.00","1,190.00","1,207.25","1,202.55","1,203.25","1,201.71","1,214.00","686.60","7,90,960","95,05,03,042.45","75,562"
"02-Mar-2024","EQ","1,209.00","1,213.00","1,200.00","1,201.00","1,207.00","1,207.25","1,206.75","1,213.65","686.60","1,49,379","18,02,62,599.05","9,734"
"01-Mar-2024","EQ","1,204.00","1,213.65","1,194.25","1,190.05","1,199.30","1,201.00","1,204.11","1,213.65","686.60","18,04,771","2,17,31,46,579.80","59,804"
"29-Feb-2024","EQ","1,166.95","1,199.00","1,150.60","1,167.95","1,192.00","1,190.05","1,184.86","1,205.00","686.60","27,22,341","3,22,56,02,468.60","95,895"
"28-Feb-2024","EQ","1,189.75","1,205.00","1,163.10","1,183.60","1,163.10","1,167.95","1,189.07","1,205.00","686.60","21,70,054","2,58,03,56,821.65","97,849"
